granule,is2_time_utc,search_start_utc,search_end_utc,s2_candidates,s2_id,s2_time_utc,timediff_hours,same_day,s2_cloud_cover,s2_platform
ATL03_20220501042951_05971503_007_01.h5,2022-05-01T04:29:51+00:00,2022-04-26T04:29:51+00:00,2022-05-06T04:29:51+00:00,79,S2B_23WNQ_20220501_0_L2A,2022-05-01T14:33:45.244000+00:00,10.065,True,28.405464,sentinel-2b
ATL03_20220501171445_06051505_007_01.h5,2022-05-01T17:14:45+00:00,2022-04-26T17:14:45+00:00,2022-05-06T17:14:45+00:00,78,S2A_22WEU_20220501_0_L2A,2022-05-01T15:24:13.978000+00:00,1.842,True,5.446923,sentinel-2a
ATL03_20220502164904_06201505_007_01.h5,2022-05-02T16:49:04+00:00,2022-04-27T16:49:04+00:00,2022-05-07T16:49:04+00:00,91,S2A_23VMJ_20220502_0_L2A,2022-05-02T14:55:15.342000+00:00,1.897,True,38.68008,sentinel-2a
ATL03_20220505042131_06581503_007_01.h5,2022-05-05T04:21:31+00:00,2022-04-30T04:21:31+00:00,2022-05-10T04:21:31+00:00,100,S2A_23WNR_20220505_0_L2A,2022-05-05T15:03:35.262000+00:00,10.701,True,12.087367,sentinel-2a
ATL03_20220505170624_06661505_007_01.h5,2022-05-05T17:06:24+00:00,2022-04-30T17:06:24+00:00,2022-05-10T17:06:24+00:00,99,S2A_22VEQ_20220505_0_L2A,2022-05-05T15:05:14.618000+00:00,2.019,True,40.28748,sentinel-2a
ATL03_20220506164046_06811505_007_01.h5,2022-05-06T16:40:46+00:00,2022-05-01T16:40:46+00:00,2022-05-11T16:40:46+00:00,84,S2A_23WNQ_20220506_0_L2A,2022-05-06T14:33:55.794000+00:00,2.114,True,38.489196,sentinel-2a
ATL03_20220509041310_07191503_007_01.h5,2022-05-09T04:13:10+00:00,2022-05-04T04:13:10+00:00,2022-05-14T04:13:10+00:00,86,S2A_23WNP_20220509_0_L2A,2022-05-09T14:44:07.798000+00:00,10.516,True,37.789887,sentinel-2a
ATL03_20220509165802_07271505_007_01.h5,2022-05-09T16:58:02+00:00,2022-05-04T16:58:02+00:00,2022-05-14T16:58:02+00:00,78,S2A_22VEN_20220509_0_L2A,2022-05-09T14:45:47.743000+00:00,2.204,True,11.877563,sentinel-2a
ATL03_20220510163230_07421505_007_01.h5,2022-05-10T16:32:30+00:00,2022-05-05T16:32:30+00:00,2022-05-15T16:32:30+00:00,70,S2B_23WNR_20220510_0_L2A,2022-05-10T15:03:28.007000+00:00,1.484,True,39.583436,sentinel-2b
ATL03_20220513040457_07801503_007_01.h5,2022-05-13T04:04:57+00:00,2022-05-08T04:04:57+00:00,2022-05-18T04:04:57+00:00,81,S2A_23VNL_20220513_0_L2A,2022-05-13T14:24:53.765000+00:00,10.332,True,45.594594,sentinel-2a
