granule,geojson,description,geojson_clip,size_mb
ATL03_20220603025742_11001503_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,1376.0
ATL03_20220603154233_11081505_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,5736.0
ATL03_20220604151654_11231505_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,4672.0
ATL03_20220607024921_11611503_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,1448.0
ATL03_20220607153415_11691505_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,7128.0
ATL03_20220608150833_11841505_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,4376.0
ATL03_20220611024058_12221503_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,632.0
ATL03_20220611152552_12301505_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,7296.0
ATL03_20220612150013_12451505_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,4536.0
ATL03_20220615023239_12831503_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,1504.0
ATL03_20220616145156_13061505_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,4928.0
ATL03_20220619022422_13441503_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,1120.0
ATL03_20220620144339_13671505_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,4760.0
ATL03_20220623021609_00181603_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,1496.0
ATL03_20220624143518_00411605_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,5296.0
ATL03_20220627020745_00791603_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,1744.0
ATL03_20220628014206_00941603_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,1472.0
ATL03_20220628142659_01021605_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,6104.0
ATL03_20220629140122_01171605_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,5864.0
ATL03_20220702013345_01551603_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,864.0
ATL03_20220702141839_01631605_007_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_simplified_GRE_2000_SW,geojsons/GRE_2000_SW.geojson,5008.0
