granule,is2_time_utc,search_start_utc,search_end_utc,s2_candidates,s2_id,s2_time_utc,timediff_hours,same_day,s2_cloud_cover,s2_platform,n_lakes,n_lakes_quality_gt0,max_depth_m,good_s2_match,has_lakes,has_quality_lakes,detection_run,modeling_ready
ATL03_20220714010847_03381603_007_01.h5,2022-07-14T01:08:47+00:00,2022-07-11T01:08:47+00:00,2022-07-17T01:08:47+00:00,500,S2A_22WDV_20220714_0_L2A,2022-07-14T15:04:18.887000+00:00,13.926,TRUE,0.306515,sentinel-2a,110,48,8.921966818,TRUE,TRUE,TRUE,TRUE,TRUE
ATL03_20220616145156_13061505_007_01.h5,2022-06-16T14:51:56+00:00,2022-06-13T14:51:56+00:00,2022-06-19T14:51:56+00:00,500,S2B_23VMJ_20220616_0_L2A,2022-06-16T14:55:14.135000+00:00,0.055,TRUE,0,sentinel-2b,0,0,,TRUE,FALSE,FALSE,FALSE,FALSE
ATL03_20220604151654_11231505_007_01.h5,2022-06-04T15:16:54+00:00,2022-06-01T15:16:54+00:00,2022-06-07T15:16:54+00:00,500,S2A_22VDP_20220604_0_L2A,2022-06-04T15:05:33.554000+00:00,0.189,TRUE,0,sentinel-2a,0,0,,TRUE,FALSE,FALSE,FALSE,FALSE
ATL03_20220607153415_11691505_007_01.h5,2022-06-07T15:34:15+00:00,2022-06-04T15:34:15+00:00,2022-06-10T15:34:15+00:00,500,S2A_23WMP_20220607_0_L2A,2022-06-07T15:14:05.414000+00:00,0.336,TRUE,0,sentinel-2a,0,0,,TRUE,FALSE,FALSE,FALSE,FALSE
ATL03_20220608150833_11841505_007_01.h5,2022-06-08T15:08:33+00:00,2022-06-05T15:08:33+00:00,2022-06-11T15:08:33+00:00,500,S2A_23VNH_20220608_0_L2A,2022-06-08T14:45:29.321000+00:00,0.384,TRUE,0,sentinel-2a,0,0,,TRUE,FALSE,FALSE,FALSE,FALSE
ATL03_20220611152552_12301505_007_01.h5,2022-06-11T15:25:52+00:00,2022-06-08T15:25:52+00:00,2022-06-14T15:25:52+00:00,500,S2A_23VMJ_20220611_0_L2A,2022-06-11T14:55:19.944000+00:00,0.509,TRUE,0,sentinel-2a,0,0,,TRUE,FALSE,FALSE,FALSE,FALSE
ATL03_20220710140201_02851605_007_01.h5,2022-07-10T14:02:01+00:00,2022-07-07T14:02:01+00:00,2022-07-13T14:02:01+00:00,500,S2B_22VFP_20220710_0_L2A,2022-07-10T14:35:31.544000+00:00,0.558,TRUE,2.260819,sentinel-2b,0,0,,TRUE,FALSE,FALSE,FALSE,FALSE
ATL03_20220706141022_02241605_007_01.h5,2022-07-06T14:10:22+00:00,2022-07-03T14:10:22+00:00,2022-07-09T14:10:22+00:00,500,S2B_23VMJ_20220706_0_L2A,2022-07-06T14:55:15.316000+00:00,0.748,TRUE,0.601767,sentinel-2b,0,0,,TRUE,FALSE,FALSE,FALSE,FALSE
ATL03_20220703135301_01781605_007_01.h5,2022-07-03T13:53:01+00:00,2022-06-30T13:53:01+00:00,2022-07-06T13:53:01+00:00,500,S2B_23WNM_20220703_0_L2A,2022-07-03T14:44:36.568000+00:00,0.86,TRUE,5.961921,sentinel-2b,0,0,,TRUE,FALSE,FALSE,FALSE,FALSE
ATL03_20220702141839_01631605_007_01.h5,2022-07-02T14:18:39+00:00,2022-06-29T14:18:39+00:00,2022-07-05T14:18:39+00:00,500,S2B_23WMP_20220702_0_L2A,2022-07-02T15:14:02.280000+00:00,0.923,TRUE,1.016211,sentinel-2b,0,0,,TRUE,FALSE,FALSE,FALSE,FALSE
